"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",0.0498165364287362,0.0483431956055323,0.0479508032510878,0.0488525189938718,0.0460063318880167,0.016172513224249,0.0455940712087017,0.0499311471595125,0.053059019167588,0.0490745463004265,0.0523738173288017,0.016172513224249,0.0440125044396596,0.0427862598160229,0.0314175291923478,0.0353967178561752,0.0358814277820877,0.0227578235951442,0.0298059145516413,0.0220251396837062,0.0177497353470933,0.0218164380408298,0.0248389469459195,0.0252253003968102,0.0369915637152203,0.0244395351261993,0.0356500552530462,0.0258580944773234
"2",4.91960587817389e-05,3.20798863802804e-05,3.39850558771911e-05,3.39817256519877e-05,2.79258903271272e-05,0.0203603703404683,3.79039658389418e-05,3.44338690953579e-05,3.06833849693864e-05,3.43486032504216e-05,3.81290133242444e-05,0.0203603703404683,3.54874602531228e-05,3.82256804517701e-05,3.08636179331186e-05,5.07215107547077e-05,4.44993160801457e-05,0.024351057832758,0.0424194860755162,0.0301401889484145,0.025254581064495,0.0500114737092868,0.0656286720478058,0.0934957605208433,0.0976667497388883,0.395132242933745,0.0806276730134547,0.0539989083948857
"3",5.54121609711517e-05,3.61332975051283e-05,3.82791921449512e-05,3.82754411335976e-05,3.14544288381875e-05,0.0229329776953001,4.2693270731925e-05,3.87847145568456e-05,0.0155188104044408,0.0118009698946484,0.880005165003702,0.0229329776953001,3.99714308157813e-05,0.0276008269768604,3.47633490855351e-05,5.71303593873077e-05,5.01219676291319e-05,5.82550679740111e-05,0.0183717491610311,5.06484020633539e-05,3.88425674653371e-05,3.93195936186542e-05,4.77565191607812e-05,2.45645758180425e-05,3.03332401618453e-05,3.1308199907073e-05,2.67406893764817e-05,2.5734700372182e-05
"4",0.000104325948522297,6.80291197707197e-05,7.20692526549973e-05,7.2062190526206e-05,5.92200893496902e-05,0.0431765267510221,8.0379755753365e-05,7.3021013138542e-05,6.5067676559372e-05,7.28401970250194e-05,8.08569950474905e-05,0.0431765267510221,7.52552753865846e-05,8.10619889030915e-05,0.00559036370255809,0.000107560846356517,9.43659608842069e-05,0.0576729956156959,0.0226510602606318,0.0350932429770801,0.713482760895879,0.0590323096459145,0.0103197896866687,4.62483799106728e-05,5.7109197623364e-05,0.0084961530148445,5.03454067563608e-05,4.8451404515026e-05
"5",0.0507966155555408,0.0451566158346946,0.0541156446333085,0.0438745910176041,0.0524822902689343,0.0207771366513241,0.0512005804874705,0.0519926994055582,0.0489454645681935,0.272063584256238,0.0508544814522629,0.0207771366513241,0.0392639214156393,0.0490281887204628,0.0362529005408585,0.0303194920226328,0.0382335661605889,0.013280037681875,0.00643666707396831,4.5887140554677e-05,3.51911270676803e-05,0.00658268735201653,0.000163750258068814,2.22553545088861e-05,0.00262938623748222,0.00468855631551424,0.00346484451354867,0.00651582730275884
"6",3.44102246027312e-05,2.24383034517654e-05,2.37708758552951e-05,2.37685465264816e-05,1.95327874261418e-05,0.0142410781221027,2.65119607169909e-05,2.40847986374088e-05,2.14615193679003e-05,2.40251593706086e-05,2.66693703694571e-05,0.0142410781221027,2.48217338569349e-05,2.6736984272933e-05,2.15875834656435e-05,3.54772032654613e-05,3.11250839783555e-05,3.61756325344666e-05,3.0259207514941e-05,3.14519928518359e-05,2.41207245341836e-05,2.44169515137732e-05,0.0420358680390277,0.911333628191036,1.88365439752672e-05,0.0175640778094194,1.6605617094696e-05,1.59809111280066e-05
"7",0.0460505017512884,0.0516179952516505,0.587908948481604,0.0355889907909338,0.0172871024295874,0.0339787882070325,0.0135555080012376,0.0331897760056122,0.0189940880179204,0.0363553049560799,0.0195738982302121,0.0339787882070325,0.01111228932977,0.00559154331429681,0.0130975928322775,0.0102404554037835,0.0230916536584309,0.00094929250305931,0.00368140137848032,7.50435180987435e-05,5.75513302658707e-05,0.00374724949724264,7.07587419143497e-05,3.639625565449e-05,4.49434328497003e-05,4.63879879848263e-05,3.96205077642285e-05,3.81299779355308e-05
"8",0.017921636711987,0.0219561918159973,0.0149190188670553,0.0244665917366835,0.0131531180782887,0.0300011907683657,0.0233806401228033,0.0130338458687725,0.0195815545130181,0.0175221886858829,0.0228413288362495,0.0300011907683657,0.0225211944768183,0.0332329358174211,0.051423767438,0.0388645435639928,0.0334637459831937,0.0383418717120068,0.036225973338547,0.0718827643206204,0.0405302126159147,0.268633943280825,0.0398776637135244,0.022140993600821,0.0165159724165726,0.0135863269032258,0.0134620725916372,0.0105175214534099
"9",0.171322086070963,0.0785410594495787,0.104931648999482,0.0506112626322123,0.164985084776145,0.0807740855467995,0.019393015208809,0.0208548096663823,0.000121727764325411,0.070532896855035,0.000151266216309735,0.0807740855467995,0.000140786591913164,0.138149630980831,0.0134696668075991,0.000201223434557107,0.000176538614166931,0.000205184861145692,0.000171627442489538,0.00356034328665088,0.000136810531496983,0.000138490703685177,0.000168207077831889,8.65208685461745e-05,0.000106839145282326,0.000110273129430047,9.41855331642777e-05,9.06422583670804e-05
"10",6.54065657192046e-05,4.26504734069322e-05,4.51834119591596e-05,4.51789843972975e-05,3.71277014090108e-05,0.0270692802171278,5.0393635060528e-05,4.57801128326973e-05,4.07938132684882e-05,4.56667511889287e-05,5.06928375475136e-05,0.0270692802171278,0.0631458970032454,0.354397855859899,0.0139144986376822,0.019320566233589,0.0716248440917857,0.398911638572955,0.00978069966990558,0.0139842405756772,4.58484003709377e-05,4.64114652631905e-05,5.63701154090756e-05,2.89951612506801e-05,3.58042897326283e-05,3.69550979222424e-05,3.1563769151509e-05,3.03763351159228e-05
